"","SPY.Adjusted"
"153",-0.339300327314774
"154",0.20433496996837
"155",0.883050976290844
"156",0.0674015101110726
"157",-0.403764084120143
"158",0.270305841254744
"159",-0.404335212592937
"160",-0.193844739905393
"161",-0.818529091352282
"162",-0.344063110391477
"163",0.828212983670106
"164",0.547562131205436
"165",-0.272363317621996
"166",1.0921759802069
"167",-0.202447712406715
"168",-0.338412069566829
"169",-0.203540431256591
"170",0.476072124414734
"171",0.135425467377535
"172",-0.13524231484057
"173",-0.067597587497647
"174",-0.27098670209061
"175",0.135871712147693
"176",0.203402072564575
"177",0.135425467377535
"178",0
"179",1.28480537305798
"180",0.534023544358677
"181",-0.265664851492226
"182",-0.732475279825185
"183",0.134210945319434
"184",-0.13403106096549
"185",-0.469287080717865
"186",0.269475146869468
"187",-0.0672658899949542
"188",0.067311167450806
"189",0.739218851069014
"190",0
"191",0.266752154783066
"192",-0.0664249224152315
"193",-1.26509707868435
"194",-1.0788589074314
"195",0.477288330699592
"196",0.135666990172954
"197",0.0676433127451662
"198",0.744850230534521
"199",-0.26875092990639
"200",0.471499768215716
"201",-0.0668857297046204
"202",0.469631390788997
"203",-0.534381261066531
"204",-0.268658032083367
"205",-0.201905785002755
"206",-0.60739171236832
"207",0.543108408558201
"208",0.405175757815248
"209",0.067311167450806
"210",-0.40322556246352
"211",0.0673458336309189
"212",0.1348776011404
"213",0.26938174778576
"214",0.402978649727074
"215",0.334517338480098
"216",-0.0666944159900233
"217",0
"218",-0.333551146945169
"219",-0.200910278546008
"220",0.60375299496229
"221",-0.733425153758976
"222",-0.134287024051872
"223",0.336266543880691
"224",0.549689394765348
"225",0.134184546964279
"226",-0.335244919755827
"227",0.672524677095846
"228",-0.0667089489651828
"229",0.534761755732408
"230",0.199366987106174
"231",-0.132743572884941
"232",-0.39860489771273
"233",-0.533711733355909
"234",-0.268312740198635
"235",0.403500105826407
"236",0.201055728085041
"237",0
"238",0.601475384401217
"239",1.19605236862437
"240",-0.196857155355381
"241",-0.329092137856227
"242",-0.263931143960246
"243",0.397034794030985
"244",0
"245",0.131799721014914
"246",-0.263334241585441
"247",0.264029521724035
"248",-0.197365767974579
"249",-0.395741537911393
"250",0
"251",0.264821080771376
"252",0.924714473655369
"253",0.261802430121943
"254",0.717818121913604
"255",-0.51837074134804
"256",0.651468433657387
"257",-0.453004868842491
"258",-2.27580654935299
"259",0.465931692990492
"260",0.0661476932402648
"261",0.397034794030985
"262",-0.85688322037104
"263",0.332315748551768
"264",0.132649983933596
"265",0.529357805796763
"266",-0.0657656949611908
"267",-0.592971327898979
"268",-0.596287868013083
"269",0.999880633809309
"270",-0.263931143960246
"271",-1.32369371672999
"272",0.469578116742778
"273",0
"274",-0.400539947735096
"275",0.134058010224171
"276",-0.267703865069329
"277",0.268422442322138
"278",0.535487538505454
"279",-0.399493045148211
"280",0.467779133887133
"281",-0.798353308500428
"282",0.536575499756422
"283",0.133362476719399
"284",-0.066494788615747
"285",0.799958824625897
"286",0
"287",-0.0218733224127743
"288",-0.266139278394471
"289",0.26684946964739
"290",-0.066475662930162
"291",-1.19838066000273
"292",-0.94336950375849
"293",0.136016448588283
"294",-1.97021393945003
"295",-1.38599995317151
"296",0.281122362269271
"297",-1.54169315591266
"298",2.06415473148168
"299",0
"300",0.488033012360681
"301",-0.763266696724646
"302",0.41957746293511
"303",-0.139254149779161
"304",-0.52309230089688
"305",0.035032418924977
"306",0
"307",-0.665798241702514
"308",0.14102647691084
"309",-0.105497371021661
"310",1.33983853076119
"311",-0.104415314456951
"312",1.04502431459851
"313",-0.103399174209637
"314",-0.724669522805506
"315",0.312792123397726
"316",0.623842381340792
"317",-0.103394322704932
"318",-0.172263848348144
"319",-0.138140992369821
"320",-0.968218702907907
"321",-0.873101659712396
"322",0.775155304747928
"323",-0.908937499825183
"324",0.493955079704355
"325",0
"326",0.0350261081648899
"327",1.47379478420938
"328",0.726087166533247
"329",0.480500934823618
"330",-0.375637998834416
"331",-0.171655373793664
"332",0.41230186677324
"333",0.273655910544186
"334",0.0682946812694064
"335",0.102388948595384
"336",-0.136235394896401
"337",0.443305039940976
"338",-0.101941521547569
"339",0.577753291413024
"340",-0.0336372729429721
"341",-0.135309085106328
"342",-0.812469583266334
"343",0.546108998253952
"344",0.16966947249279
"345",0.135519726738988
"346",0.778381921092389
"347",-0.402916192861301
"348",0.202406319628382
"349",-0.558175555501329
"350",-0.851655223539195
"351",-0.858792005582849
"352",0.38124711709711
"353",-0.586732255052932
"354",-2.08336393191612
"355",1.73752910217512
"356",-0.488175442402577
"357",0.315528669853881
"358",-0.628606395316186
"359",0.210900032908512
"360",0.525772244760287
"361",-0.139542913091471
"362",0.419145162846729
"363",-0.0347272158928447
"364",-0.347771847243878
"365",0.139627105230878
"366",0.174309345671292
"367",1.07907450159097
"368",0.034289095398505
"369",0.172072527152954
"370",-0.205995407657183
"371",-0.447873849654247
"372",0.207678580800566
"373",0.172544197596643
"374",0.137815858587287
"375",-0.103272832544581
"376",0
"377",0.206762571900696
"378",0.996855754476726
"379",0.476667367050407
"380",0.135471437977718
"381",0.0337489976979203
"382",-0.574803935189526
"383",-0.340287975935154
"384",0.238979416605637
"385",0.170170889332948
"386",0.373996825870749
"387",-0.372603301350608
"388",0.781843246718923
"389",-0.0336829885284575
"390",0.708508217630452
"391",-0.0671710335619675
"392",-0.335087314907919
"393",-0.0673596451782419
"394",-0.100861473193261
"395",0.572772412114671
"396",1.07193856589219
"397",-0.265135157774205
"398",1.42909422291745
"399",-0.0656031924292986
"400",0.262266472067229
"401",-0.261580434290597
"402",-0.327819414450557
"403",-0.427753809213245
"404",0.0331552301548777
"405",-0.0990924000896911
"406",0.495888564857396
"407",-1.05260017871017
"408",-0.299364604312643
"409",0.300263486912133
"410",0.0995587232678601
"411",1.26218058666817
"412",-0.711687734469081
"413",0.099724773759212
"414",-1.89260450054552
"415",0
